id,title,package_name,file_name,google_play_store_url,youtube_url,published,store_published,youtube_published,web_published,
00001,Classic Simple Blackjack (21),com.appflux.cardgames.blackjack,blackjack,https://play.google.com/store/apps/details?id=com.appflux.cardgames.blackjack,,true,false,,true,
00002,Classic Simple Poker (Five-card draw) ,com.appflux.cardgames.poker,poker,https://play.google.com/store/apps/details?id=com.appflux.cardgames.poker,,true,false,,true,
00003,Classic Simple Casino War,com.appflux.cardgames.casinowar,casino-war,https://play.google.com/store/apps/details?id=com.appflux.cardgames.casinowar,,true,false,,true,
00004,Classic Simple Old Maid,com.game.old_maid,old-maid,https://play.google.com/store/apps/details?id=com.game.old_maid,https://www.youtube.com/watch?v=f1xyjHnLCg8,true,true,true,true,
00005,Classic Simple Memory Battle,com.games.memorymonsters,memory-battle,https://play.google.com/store/apps/details?id=com.games.memorymonsters,https://www.youtube.com/watch?v=4Qjgvynijgs,true,true,true,true,
00006,Classic Simple High & Low,com.game.highandlow,high-low,https://play.google.com/store/apps/details?id=com.game.highandlow,https://www.youtube.com/watch?v=NJE91R1JcTc,true,true,true,true,
